  Í¼ÐÎºÅ               = 343
  ³§Õ¾IDºÅ             = 01124107000021

  Ó¦ÓÃºÅ      Í¼ÔªKEY_IDºÅ        ¶Ë×ÓºÅ    ½Úµã±àºÅ  Í¼ÐÎ¶ËOBJ_IDºÅ
  100000      130141000000009824  0         1       30005963
  100000      130141000000004249  0         2       30005965
  100000      130141000000004249  0         2       30005966
  100000      130141000000009825  0         3       30006557
  100000      130141000000004250  0         4       30006558
  100000      130141000000004250  0         4       30006559
  100000      040841000000022404  0         5       32005967
  100000      040841000000012323  0         6       32005968
  100000      040841000000012324  0         7       32005969
  100000      040841000000012325  0         8       32005970
  100000      040841000000012326  0         9       32005971
  100000      040841000000012327  0         10       32005972
  100000      040841000000012328  0         11       32005973
  100000      040841000000012329  0         12       32005974
  100000      040841000000012331  0         13       32006299
  100000      040841000000012330  0         14       32006300
  100000      040841000000012332  0         15       32006484
  100000      040841000000022406  0         16       32006560
  100000      040841000000022405  0         17       32006561
  100000      040841000000012322  0         18       32006562
  100000      040841000000022403  0         19       32006563
  100000      040841000000022401  0         20       32006564
  100000      040841000000012333  0         21       32006565
  100000      040841000000012334  0         22       32006566
  100000      040841000000012335  0         23       32006567
  100000      040841000000022407  0         24       32006569
  100000      040841000000022402  0         25       32006570
  100000      040841070000000702  0         26       32006911
  100000      040841070000000701  0         27       32006916
  100000      121041070000001727  0         32       36006184
  100000      121041000000005605  0         46       36006729
  100000      132141000000040693  0         30       100006189
  100000      132141000000040693  1         31       100006189
  100000      132141000000040685  0         35       100006191
  100000      132141000000040685  1         36       100006191
  100000      132141000000040695  0         59       100006498
  100000      132141000000040695  1         60       100006498
  100000      132141000000040696  0         44       100006730
  100000      132141000000040696  1         45       100006730
  100000      132141000000040694  0         49       100006731
  100000      132141000000040694  1         50       100006731
  100000      132241000000047814  0         28       101006192
  100000      132241000000047814  1         1       101006192
  100000      132241000000047816  0         31       101006201
  100000      132241000000047816  1         1       101006201
  100000      132241000000047817  0         32       101006202
  100000      132241000000047817  1         30       101006202
  100000      132241000000047810  0         34       101006205
  100000      132241000000047810  1         33       101006205
  100000      132241000000047813  0         41       101006206
  100000      132241000000047813  1         36       101006206
  100000      132241000000047812  0         35       101006207
  100000      132241000000047812  1         1       101006207
  100000      132241000000047809  0         40       101006354
  100000      132241000000047809  1         39       101006354
  100000      132241000000047811  0         29       101006376
  100000      132241000000047811  1         2       101006376
  100000      132241000000104494  0         57       101006377
  100000      132241000000104494  1         2       101006377
  100000      132241000000047818  0         59       101006475
  100000      132241000000047818  1         1       101006475
  100000      132241000000047821  0         42       101006732
  100000      132241000000047821  1         3       101006732
  100000      132241000000047822  0         45       101006733
  100000      132241000000047822  1         3       101006733
  100000      132241000000047823  0         46       101006734
  100000      132241000000047823  1         44       101006734
  100000      132241000000047825  0         48       101006735
  100000      132241000000047825  1         47       101006735
  100000      132241000000047820  0         55       101006736
  100000      132241000000047820  1         50       101006736
  100000      132241000000047819  0         49       101006737
  100000      132241000000047819  1         3       101006737
  100000      132241000000047826  0         54       101006738
  100000      132241000000047826  1         53       101006738
  100000      132241000000047827  0         43       101006739
  100000      132241000000047827  1         4       101006739
  100000      132241000000047824  0         60       101006741
  100000      132241000000047824  1         3       101006741
  100000      132241000000047828  0         56       101006796
  100000      132241000000047828  1         3       101006796
  100000      131241000000004517  0         41       102006209
  100000      131241000000006366  0         37       102006209
  100000      131241000000004517  1         38       102006209
  100000      131241000000004477  0         55       102006742
  100000      131241000000006326  0         51       102006742
  100000      131241000000004477  1         52       102006742
  100000      131441070000000014  0         28       107006319
  100000      131441070000000016  0         29       107006320
  100000      131441070000000013  0         42       107006744
  100000      131441070000000015  0         43       107006745
  100000      132141000000042320  0         2       110006213
  100000      132141000000042320  1         61       110006213
  100000      132241000000114258  0         5       110006213
  100000      132241000000114258  1         61       110006213
  100000      132141000000042318  0         2       110006214
  100000      132141000000042318  1         62       110006214
  100000      132241000000114259  0         6       110006214
  100000      132241000000114259  1         62       110006214
  100000      132141000000040690  0         2       110006215
  100000      132141000000040690  1         63       110006215
  100000      132241000000114260  0         7       110006215
  100000      132241000000114260  1         63       110006215
  100000      132141000000040691  0         2       110006216
  100000      132141000000040691  1         64       110006216
  100000      132241000000114261  0         8       110006216
  100000      132241000000114261  1         64       110006216
  100000      132141000000040692  0         2       110006217
  100000      132141000000040692  1         65       110006217
  100000      132241000000114262  0         9       110006217
  100000      132241000000114262  1         65       110006217
  100000      132141000000040686  0         2       110006218
  100000      132141000000040686  1         66       110006218
  100000      132241000000114263  0         10       110006218
  100000      132241000000114263  1         66       110006218
  100000      132141000000042321  0         2       110006219
  100000      132141000000042321  1         67       110006219
  100000      132241000000114264  0         11       110006219
  100000      132241000000114264  1         67       110006219
  100000      132141000000040689  0         2       110006220
  100000      132141000000040689  1         68       110006220
  100000      132241000000114265  0         12       110006220
  100000      132241000000114265  1         68       110006220
  100000      132141000000040684  0         37       110006221
  100000      132141000000040684  1         69       110006221
  100000      132241000000114266  0         2       110006221
  100000      132241000000114266  1         69       110006221
  100000      132141000000042319  0         33       110006227
  100000      132141000000042319  1         70       110006227
  100000      132241000000114257  0         2       110006227
  100000      132241000000114257  1         70       110006227
  100000      132141000000040683  0         2       110006280
  100000      132141000000040683  1         71       110006280
  100000      132241070000000689  0         26       110006280
  100000      132241070000000689  1         71       110006280
  100000      132141000000040688  0         2       110006315
  100000      132141000000040688  1         72       110006315
  100000      132241000000114267  0         13       110006315
  100000      132241000000114267  1         72       110006315
  100000      132141000000040687  0         2       110006316
  100000      132141000000040687  1         73       110006316
  100000      132241000000047815  0         14       110006316
  100000      132241000000047815  1         73       110006316
  100000      132141000000042317  0         39       110006355
  100000      132141000000042317  1         74       110006355
  100000      132241000000114268  0         2       110006355
  100000      132241000000114268  1         74       110006355
  100000      132141000000042322  0         2       110006492
