  Í¼ÐÎºÅ               = 345
  ³§Õ¾IDºÅ             = 01124107000020

  Ó¦ÓÃºÅ      Í¼ÔªKEY_IDºÅ        ¶Ë×ÓºÅ    ½Úµã±àºÅ  Í¼ÐÎ¶ËOBJ_IDºÅ
  100000      130141000000004420  0         1       30008234
  100000      130141000000004421  0         2       30008237
  100000      130141000000004416  0         3       30008241
  100000      130141000000004417  0         4       30008242
  100000      130141000000004418  0         5       30008246
  100000      130141000000004419  0         6       30008249
  100000      130141000000004418  0         5       30008253
  100000      130141000000004419  0         6       30008254
  100000      040841000000022278  0         7       32007244
  100000      040841000000012192  0         8       32007583
  100000      040841000000012193  0         9       32007584
  100000      040841000000012195  0         10       32007585
  100000      040841000000012194  0         11       32007586
  100000      040841000000012196  0         12       32007715
  100000      040841000000012197  0         13       32007716
  100000      040841000000012198  0         14       32007739
  100000      040841000000012199  0         15       32007740
  100000      040841000000012200  0         16       32007785
  100000      040841000000012201  0         17       32008034
  100000      040841000000012202  0         18       32008035
  100000      040841000000022279  0         19       32008287
  100000      040841000000012203  0         20       32008289
  100000      040841000000012206  0         21       32008434
  100000      040841000000012205  0         22       32008436
  100000      040841000000012204  0         23       32008437
  100000      040841000000012207  0         24       32008552
  100000      040841000000012208  0         25       32008553
  100000      040841000000012209  0         26       32008958
  100000      040841000000012210  0         27       32008971
  100000      040841070000000215  0         28       32009078
  100000      040841070000000214  0         29       32009108
  100000      121041070000000209  0         30       36004370
  100000      121041000000005590  0         35       36007225
  100000      121041000000003609  0         37       36008994
  100000      121041000000003650  0         48       36009004
  100000      121041070000000272  0         63       36009102
  100000      132141000000063856  0         34       100006395
  100000      132141000000063856  1         59       100006395
  100000      132141000000041544  0         36       100007226
  100000      132141000000041544  1         60       100007226
  100000      132141000000041548  0         56       100008533
  100000      132141000000041548  1         57       100008533
  100000      132241000000048252  0         34       101006381
  100000      132241000000048252  1         30       101006381
  100000      132241000000048251  0         1       101006400
  100000      132241000000048251  1         59       101006400
  100000      132241000000048258  0         1       101006539
  100000      132241000000048258  1         56       101006539
  100000      132241000000048259  0         2       101006540
  100000      132241000000048259  1         57       101006540
  100000      132241000000048266  0         38       101007165
  100000      132241000000048266  1         53       101007165
  100000      132241000000048253  0         36       101007227
  100000      132241000000048253  1         35       101007227
  100000      132241000000048254  0         2       101007228
  100000      132241000000048254  1         60       101007228
  100000      132241000000048250  0         39       101007658
  100000      132241000000048250  1         40       101007658
  100000      132241000000048247  0         42       101008127
  100000      132241000000048247  1         43       101008127
  100000      132241000000048265  0         52       101008337
  100000      132241000000048265  1         51       101008337
  100000      132241000000048260  0         1       101008544
  100000      132241000000048260  1         46       101008544
  100000      132241000000048261  0         2       101008545
  100000      132241000000048261  1         47       101008545
  100000      132241000000048262  0         1       101008546
  100000      132241000000048262  1         33       101008546
  100000      132241000000048263  0         2       101008547
  100000      132241000000048263  1         44       101008547
  100000      132241000000048248  0         43       101008572
  100000      132241000000048248  1         58       101008572
  100000      132241000000048264  0         50       101008717
  100000      132241000000048264  1         3       101008717
  100000      132241000000048268  0         4       101008718
  100000      132241000000048268  1         49       101008718
  100000      132241000000048267  0         3       101008719
  100000      132241000000048267  1         55       101008719
  100000      132241000000048256  0         45       101008724
  100000      132241000000048256  1         5       101008724
  100000      132241000000048255  0         61       101009007
  100000      132241000000048255  1         5       101009007
  100000      132241000000048257  0         62       101009016
  100000      132241000000048257  1         6       101009016
  100000      131241000000004220  0         46       103006483
  100000      131241000000012608  0         52       103006483
  100000      131241000000006069  0         41       103006483
  100000      131241000000004220  1         32       103006483
  100000      131241000000004223  0         47       103006522
  100000      131241000000012607  0         38       103006522
  100000      131241000000006072  0         54       103006522
  100000      131241000000004223  1         31       103006522
  100000      131441070000000034  0         55       107008538
  100000      131441070000000033  0         62       107008539
  100000      131441070000000032  0         45       107008540
  100000      131441070000000037  0         44       107008541
  100000      131441070000000038  0         33       107008542
  100000      131441070000000035  0         49       107008543
  100000      132141070000000235  0         7       110007252
  100000      132141070000000235  1         64       110007252
  100000      132241070000000611  0         3       110007252
  100000      132241070000000611  1         64       110007252
  100000      132141000000041562  0         37       110007265
  100000      132141000000041562  1         65       110007265
  100000      132241000000114623  0         3       110007265
  100000      132241000000114623  1         65       110007265
  100000      132141000000041550  0         51       110007272
  100000      132141000000041550  1         66       110007272
  100000      132241000000114624  0         3       110007272
  100000      132241000000114624  1         66       110007272
  100000      132141000000041554  0         63       110007285
  100000      132141000000041554  1         67       110007285
  100000      132241000000114625  0         3       110007285
  100000      132241000000114625  1         67       110007285
  100000      132141000000041549  0         50       110007302
  100000      132141000000041549  1         68       110007302
  100000      132241000000114626  0         4       110007302
  100000      132241000000114626  1         68       110007302
  100000      132141000000041546  0         41       110007661
  100000      132141000000041546  1         69       110007661
  100000      132241000000114627  0         5       110007661
  100000      132241000000114627  1         69       110007661
  100000      132141000000041543  0         39       110007662
  100000      132141000000041543  1         70       110007662
  100000      132241000000114628  0         5       110007662
  100000      132241000000114628  1         70       110007662
  100000      132141000000041565  0         8       110007665
  100000      132141000000041565  1         71       110007665
  100000      132241000000114629  0         5       110007665
  100000      132241000000114629  1         71       110007665
  100000      132141000000041557  0         9       110007666
  100000      132141000000041557  1         72       110007666
  100000      132241000000114630  0         5       110007666
  100000      132241000000114630  1         72       110007666
  100000      132141000000041563  0         10       110007667
  100000      132141000000041563  1         73       110007667
  100000      132241000000114632  0         5       110007667
  100000      132241000000114632  1         73       110007667
  100000      132141000000041542  0         11       110007668
  100000      132141000000041542  1         74       110007668
  100000      132241000000114631  0         5       110007668
