  Í¼ÐÎºÅ               = 4300
  ³§Õ¾IDºÅ             = 01124107000118

  Ó¦ÓÃºÅ      Í¼ÔªKEY_IDºÅ        ¶Ë×ÓºÅ    ½Úµã±àºÅ  Í¼ÐÎ¶ËOBJ_IDºÅ
  100000      130141000000004310  0         1       30009232
  100000      130141000000004293  0         2       30010417
  100000      130141000000004294  0         3       30011541
  100000      040841000000029168  0         4       32011727
  100000      040841000000029169  0         5       32011743
  100000      040841000000029171  0         6       32011832
  100000      040841000000029172  0         7       32011833
  100000      040841000000029173  0         8       32011978
  100000      040841000000029170  0         9       32012065
  100000      121041070000000493  0         29       36012486
  100000      121041000000007199  0         34       36012497
  100000      132141000000040952  0         36       100008792
  100000      132141000000040952  1         47       100008792
  100000      132141000000040950  0         11       100009565
  100000      132141000000040950  1         45       100009565
  100000      132141000000040951  0         35       100010546
  100000      132141000000040951  1         13       100010546
  100000      132141000000040954  0         15       100011736
  100000      132141000000040954  1         16       100011736
  100000      132141000000042451  0         17       100011752
  100000      132141000000042451  1         18       100011752
  100000      132141000000040953  0         19       100011800
  100000      132141000000040953  1         38       100011800
  100000      132141000000040957  0         20       100011868
  100000      132141000000040957  1         21       100011868
  100000      132141000000040958  0         30       100011869
  100000      132141000000040958  1         22       100011869
  100000      132141000000040959  0         23       100011968
  100000      132141000000040959  1         39       100011968
  100000      132141070000000358  0         24       100011987
  100000      132141070000000358  1         25       100011987
  100000      132141000000040956  0         26       100012074
  100000      132141000000040956  1         27       100012074
  100000      132141000000040949  0         10       100012117
  100000      132141000000040949  1         43       100012117
  100000      132141000000040948  0         33       100012256
  100000      132141000000040948  1         28       100012256
  100000      132141000000040955  0         42       100012267
  100000      132141000000040955  1         41       100012267
  100000      132141000000040947  0         31       100012400
  100000      132141000000040947  1         32       100012400
  100000      132241000000084307  0         3       101009244
  100000      132241000000084307  1         47       101009244
  100000      132241000000084305  0         2       101010548
  100000      132241000000084305  1         13       101010548
  100000      132241000000084308  0         37       101011084
  100000      132241000000084308  1         2       101011084
  100000      132241000000084302  0         10       101011090
  100000      132241000000084302  1         1       101011090
  100000      132241000000084303  0         11       101011096
  100000      132241000000084303  1         1       101011096
  100000      132241000000084300  0         1       101011493
  100000      132241000000084300  1         28       101011493
  100000      132241000000084301  0         12       101011656
  100000      132241000000084301  1         1       101011656
  100000      132241000000084311  0         4       101011737
  100000      132241000000084311  1         16       101011737
  100000      132241000000084310  0         15       101011738
  100000      132241000000084310  1         2       101011738
  100000      132241070000001098  0         5       101011753
  100000      132241070000001098  1         18       101011753
  100000      132241070000001099  0         17       101011754
  100000      132241070000001099  1         2       101011754
  100000      132241000000084309  0         19       101011802
  100000      132241000000084309  1         2       101011802
  100000      132241000000084317  0         6       101011874
  100000      132241000000084317  1         21       101011874
  100000      132241000000084316  0         20       101011875
  100000      132241000000084316  1         3       101011875
  100000      132241000000084319  0         7       101011876
  100000      132241000000084319  1         22       101011876
  100000      132241000000084318  0         30       101011877
  100000      132241000000084318  1         3       101011877
  100000      132241000000084321  0         40       101011891
  100000      132241000000084321  1         3       101011891
  100000      132241000000084320  0         23       101011971
  100000      132241000000084320  1         3       101011971
  100000      132241070000001100  0         8       101011988
  100000      132241070000001100  1         25       101011988
  100000      132241070000001101  0         24       101011989
  100000      132241070000001101  1         3       101011989
  100000      132241000000084315  0         9       101012075
  100000      132241000000084315  1         27       101012075
  100000      132241000000084314  0         26       101012076
  100000      132241000000084314  1         3       101012076
  100000      132241000000084298  0         1       101012243
  100000      132241000000084298  1         32       101012243
  100000      132241000000084312  0         41       101012268
  100000      132241000000084312  1         2       101012268
  100000      132241000000084313  0         42       101012271
  100000      132241000000084313  1         3       101012271
  100000      132241000000084297  0         31       101012394
  100000      132241000000084297  1         29       101012394
  100000      132241000000084299  0         33       101012406
  100000      132241000000084299  1         34       101012406
  100000      132241000000084304  0         35       101012412
  100000      132241000000084304  1         44       101012412
  100000      132241000000084306  0         36       101012415
  100000      132241000000084306  1         46       101012415
  100000      131241000000009447  0         43       102012559
  100000      131241000000011852  0         44       102012559
  100000      131241000000009443  0         45       102012572
  100000      131241000000011848  0         46       102012572
  100000      131441070000000619  0         40       107011894
  100000      131441070000000621  0         12       107012594
  100000      131441070000000620  0         37       107012598
  100000      131441070000000618  0         38       107012600
  100000      131441070000000617  0         39       107012602
  100000      132341000000051837  0         12       111011658
  100000      132341000000051835  0         29       111012586
  100000      132341000000051836  0         34       111012587
  100000      132341000000051838  0         39       111012591
  100000      140241000000005095  0         38       113012435
  100000      140241000000005094  0         39       113012452
