  Í¼ÐÎºÅ               = 4290
  ³§Õ¾IDºÅ             = 01124107000120

  Ó¦ÓÃºÅ      Í¼ÔªKEY_IDºÅ        ¶Ë×ÓºÅ    ½Úµã±àºÅ  Í¼ÐÎ¶ËOBJ_IDºÅ
  100000      130141000000004308  0         1       30009232
  100000      130141000000004289  0         2       30010417
  100000      130141000000004290  0         3       30011541
  100000      040841000000029186  0         4       32011709
  100000      040841000000029187  0         5       32011743
  100000      040841000000029188  0         6       32011760
  100000      040841000000029189  0         7       32011830
  100000      040841000000029190  0         8       32011832
  100000      040841000000029191  0         9       32011833
  100000      040841000000029185  0         10       32012413
  100000      040841000000029275  0         11       32012451
  100000      121041000000007148  0         16       36012754
  100000      121041000000007146  0         56       36012765
  100000      121041070000000336  0         57       36012774
  100000      132141000000040925  0         14       100008792
  100000      132141000000040925  1         15       100008792
  100000      132141000000040923  0         13       100009565
  100000      132141000000040923  1         55       100009565
  100000      132141000000040924  0         29       100010546
  100000      132141000000040924  1         18       100010546
  100000      132141000000040927  0         40       100011718
  100000      132141000000040927  1         31       100011718
  100000      132141000000040928  0         42       100011752
  100000      132141000000040928  1         37       100011752
  100000      132141000000040929  0         44       100011769
  100000      132141000000040929  1         38       100011769
  100000      132141000000042442  0         45       100011866
  100000      132141000000042442  1         19       100011866
  100000      132141000000040930  0         47       100011868
  100000      132141000000040930  1         20       100011868
  100000      132141000000040931  0         48       100011869
  100000      132141000000040931  1         21       100011869
  100000      132141000000042443  0         49       100011968
  100000      132141000000042443  1         26       100011968
  100000      132141000000040920  0         22       100012133
  100000      132141000000040920  1         23       100012133
  100000      132141000000040922  0         12       100012139
  100000      132141000000040922  1         53       100012139
  100000      132141000000040919  0         24       100012148
  100000      132141000000040919  1         25       100012148
  100000      132141000000042440  0         32       100012199
  100000      132141000000042440  1         33       100012199
  100000      132141000000040921  0         27       100012331
  100000      132141000000040921  1         28       100012331
  100000      132141000000040926  0         39       100012423
  100000      132141000000040926  1         34       100012423
  100000      132141000000042444  0         50       100012469
  100000      132141000000042444  1         36       100012469
  100000      132141000000042441  0         51       100012589
  100000      132141000000042441  1         43       100012589
  100000      132241000000084232  0         12       101011090
  100000      132241000000084232  1         1       101011090
  100000      132241000000084233  0         13       101011096
  100000      132241000000084233  1         1       101011096
  100000      132241000000084225  0         24       101011478
  100000      132241000000084225  1         16       101011478
  100000      132241000000084227  0         22       101011493
  100000      132241000000084227  1         56       101011493
