  Í¼ÐÎºÅ               = 1734
  ³§Õ¾IDºÅ             = 01124107000001

  Ó¦ÓÃºÅ      Í¼ÔªKEY_IDºÅ        ¶Ë×ÓºÅ    ½Úµã±àºÅ  Í¼ÐÎ¶ËOBJ_IDºÅ
  100000      130141000000000947  0         1       30006622
  100000      130141000000000946  0         2       30006625
  100000      130141000000001310  0         3       30006628
  100000      130141000000001311  0         4       30006631
  100000      130141000000001308  0         5       30006640
  100000      130141000000001309  0         6       30008115
  100000      040841000000001293  0         7       32008036
  100000      040841000000001294  0         8       32008058
  100000      040841000000001295  0         9       32008074
  100000      040841000000001296  0         10       32008075
  100000      040841070000000727  0         11       32008669
  100000      040841070000000728  0         12       32008677
  100000      040841070000000818  0         13       32008702
  100000      040841070000000817  0         14       32008703
  100000      040841070000000816  0         15       32008704
  100000      040841070000000815  0         16       32008705
  100000      040841070000000814  0         17       32008706
  100000      040841070000000820  0         18       32008707
  100000      040841070000000819  0         19       32008708
  100000      040841070000000821  0         20       32008709
  100000      121041000000005298  0         35       36007202
  100000      121041070000000155  0         38       36007207
  100000      121041000000002110  0         51       36008002
  100000      121041070000000366  0         25       36008153
  100000      121041000000002118  0         64       36008285
  100000      121041070000001661  0         67       36008388
  100000      121041070000000169  0         70       36008389
  100000      121041000000002117  0         32       36008569
  100000      121041070000000466  0         89       36008653
  100000      121041070000000458  0         94       36008846
  100000      121041070000000482  0         98       36008900
  100000      121041070000000484  0         101       36008905
  100000      121041070000000597  0         104       36008944
  100000      132141000000005175  0         21       100004135
  100000      132141000000005175  1         22       100004135
  100000      132141000000004480  0         53       100005510
  100000      132141000000004480  1         27       100005510
  100000      132141000000005174  0         55       100005516
  100000      132141000000005174  1         56       100005516
  100000      132141000000005173  0         23       100006218
  100000      132141000000005173  1         24       100006218
  100000      132141000000005172  0         28       100006975
  100000      132141000000005172  1         29       100006975
  100000      132141000000005171  0         30       100006976
  100000      132141000000005171  1         31       100006976
  100000      132141000000004481  0         33       100007097
  100000      132141000000004481  1         34       100007097
  100000      132141070000000208  0         36       100007098
  100000      132141070000000208  1         37       100007098
  100000      132141000000004479  0         62       100007798
  100000      132141000000004479  1         47       100007798
  100000      132141000000005176  0         49       100008003
  100000      132141000000005176  1         50       100008003
  100000      132141000000004482  0         65       100008390
  100000      132141000000004482  1         66       100008390
  100000      132141070000000210  0         68       100008391
  100000      132141070000000210  1         69       100008391
  100000      132141070000000552  0         81       100008502
  100000      132141070000000552  1         79       100008502
  100000      132141070000000553  0         85       100008552
  100000      132141070000000553  1         86       100008552
  100000      132141070000000691  0         87       100008654
  100000      132141070000000691  1         88       100008654
  100000      132141070000001540  0         92       100008835
  100000      132141070000001540  1         93       100008835
  100000      132141070000001544  0         96       100008871
  100000      132141070000001544  1         97       100008871
  100000      132141070000001545  0         99       100008891
  100000      132141070000001545  1         100       100008891
  100000      132141070000002210  0         102       100008933
  100000      132141070000002210  1         103       100008933
