  Í¼ÐÎºÅ               = 9875
  ³§Õ¾IDºÅ             = 01124107000229

  Ó¦ÓÃºÅ      Í¼ÔªKEY_IDºÅ        ¶Ë×ÓºÅ    ½Úµã±àºÅ  Í¼ÐÎ¶ËOBJ_IDºÅ
  100000      130141070000000274  0         1       30006625
  100000      130141070000000275  0         2       30006631
  100000      130141070000000273  0         3       30008962
  100000      040841070000000903  0         4       32008592
  100000      040841070000000904  0         5       32008606
  100000      040841070000000905  0         6       32008620
  100000      040841070000000906  0         7       32008634
  100000      040841070000000907  0         8       32008648
  100000      040841070000000908  0         9       32008662
  100000      040841070000000909  0         10       32008676
  100000      040841070000000899  0         11       32008690
  100000      040841070000000900  0         12       32008906
  100000      040841070000000901  0         13       32009052
  100000      040841070000000902  0         14       32009078
  100000      121241070000000298  0         20       36008795
  100000      121241070000000292  0         31       36008991
  100000      132141070000001561  0         19       100008287
  100000      132141070000001561  1         18       100008287
  100000      132141070000001560  0         30       100008992
  100000      132141070000001560  1         29       100008992
  100000      132141070000001558  0         32       100009005
  100000      132141070000001558  1         22       100009005
  100000      132141070000001559  0         16       100009034
  100000      132141070000001559  1         34       100009034
  100000      132241070000003141  0         16       101008743
  100000      132241070000003141  1         1       101008743
  100000      132241070000003137  0         1       101008765
  100000      132241070000003137  1         18       101008765
  100000      132241070000003136  0         19       101008774
  100000      132241070000003136  1         20       101008774
  100000      132241070000003143  0         1       101008820
  100000      132241070000003143  1         21       101008820
  100000      132241070000003139  0         1       101008831
  100000      132241070000003139  1         22       101008831
  100000      132241070000003160  0         24       101008854
  100000      132241070000003160  1         23       101008854
  100000      132241070000003161  0         26       101008896
  100000      132241070000003161  1         25       101008896
  100000      132241070000003159  0         28       101008930
  100000      132241070000003159  1         2       101008930
  100000      132241070000003158  0         27       101008937
  100000      132241070000003158  1         2       101008937
  100000      132241070000003135  0         3       101008993
  100000      132241070000003135  1         29       101008993
  100000      132241070000003134  0         30       101008994
  100000      132241070000003134  1         31       101008994
  100000      132241070000003138  0         3       101008996
  100000      132241070000003138  1         32       101008996
  100000      132241070000003142  0         3       101009029
  100000      132241070000003142  1         33       101009029
  100000      132241070000003140  0         35       101009037
  100000      132241070000003140  1         34       101009037
  100000      131241070000000244  0         35       102008728
  100000      131241070000000245  0         15       102008728
  100000      131241070000000244  1         17       102008728
  100000      131441070000000859  0         27       107006705
  100000      131441070000000858  0         21       107008813
  100000      131441070000000856  0         33       107009030
  100000      132141070000001563  0         23       110007927
  100000      132141070000001563  1         36       110007927
  100000      132241070000003145  0         2       110007927
  100000      132241070000003145  1         36       110007927
  100000      132141070000001568  0         4       110008600
  100000      132141070000001568  1         37       110008600
  100000      132241070000003150  0         2       110008600
  100000      132241070000003150  1         37       110008600
  100000      132141070000001569  0         5       110008614
  100000      132141070000001569  1         38       110008614
  100000      132241070000003151  0         2       110008614
  100000      132241070000003151  1         38       110008614
  100000      132141070000001570  0         6       110008628
  100000      132141070000001570  1         39       110008628
  100000      132241070000003152  0         2       110008628
  100000      132241070000003152  1         39       110008628
  100000      132141070000001571  0         7       110008642
  100000      132141070000001571  1         40       110008642
  100000      132241070000003153  0         2       110008642
  100000      132241070000003153  1         40       110008642
  100000      132141070000001572  0         8       110008656
  100000      132141070000001572  1         41       110008656
  100000      132241070000003154  0         2       110008656
  100000      132241070000003154  1         41       110008656
  100000      132141070000001573  0         9       110008670
  100000      132141070000001573  1         42       110008670
  100000      132241070000003155  0         2       110008670
  100000      132241070000003155  1         42       110008670
  100000      132141070000001574  0         10       110008684
  100000      132141070000001574  1         43       110008684
  100000      132241070000003156  0         2       110008684
  100000      132241070000003156  1         43       110008684
  100000      132141070000001575  0         11       110008698
  100000      132141070000001575  1         44       110008698
  100000      132241070000003157  0         2       110008698
  100000      132241070000003157  1         44       110008698
  100000      132141070000001562  0         2       110008740
  100000      132141070000001562  1         45       110008740
  100000      132241070000003144  0         15       110008740
  100000      132241070000003144  1         45       110008740
  100000      132141070000001564  0         25       110008897
  100000      132141070000001564  1         46       110008897
  100000      132241070000003146  0         2       110008897
  100000      132241070000003146  1         46       110008897
  100000      132141070000001565  0         12       110008914
  100000      132141070000001565  1         47       110008914
  100000      132241070000003147  0         2       110008914
  100000      132241070000003147  1         47       110008914
  100000      132141070000001566  0         13       110009060
  100000      132141070000001566  1         48       110009060
  100000      132241070000003148  0         2       110009060
  100000      132241070000003148  1         48       110009060
  100000      132141070000001567  0         14       110009086
  100000      132141070000001567  1         49       110009086
  100000      132241070000003149  0         2       110009086
  100000      132241070000003149  1         49       110009086
  100000      132341070000002447  0         4       111008601
  100000      132341070000002448  0         5       111008615
  100000      132341070000002449  0         6       111008629
  100000      132341070000002450  0         7       111008643
  100000      132341070000002451  0         8       111008657
  100000      132341070000002452  0         9       111008671
  100000      132341070000002453  0         10       111008685
  100000      132341070000002454  0         11       111008699
  100000      132341070000002434  0         16       111008750
  100000      132341070000002437  0         17       111008756
  100000      132341070000002430  0         18       111008769
  100000      132341070000002429  0         19       111008778
  100000      132341070000002431  0         20       111008785
  100000      132341070000002438  0         21       111008824
  100000      132341070000002439  0         1       111008826
  100000      132341070000002433  0         22       111008837
  100000      132341070000002442  0         23       111008847
  100000      132341070000002455  0         24       111008850
  100000      132341070000002443  0         25       111008898
  100000      132341070000002456  0         26       111008899
  100000      132341070000002444  0         12       111008915
  100000      132341070000002427  0         29       111008998
  100000      132341070000002428  0         30       111008999
  100000      132341070000002426  0         31       111009000
  100000      132341070000002432  0         32       111009003
  100000      132341070000002440  0         33       111009031
  100000      132341070000002441  0         3       111009032
  100000      132341070000002435  0         34       111009041
  100000      132341070000002436  0         35       111009042
  100000      132341070000002445  0         13       111009061
  100000      132341070000002446  0         14       111009087
  100000      140241070000000118  0         24       113007929
  100000      140241070000000119  0         26       113008900
