  Í¼ÐÎºÅ               = 3881
  ³§Õ¾IDºÅ             = 01124107000107

  Ó¦ÓÃºÅ      Í¼ÔªKEY_IDºÅ        ¶Ë×ÓºÅ    ½Úµã±àºÅ  Í¼ÐÎ¶ËOBJ_IDºÅ
  100000      130141000000004362  0         1       30000048
  100000      130141000000004363  0         2       30000496
  100000      130141070000000102  0         3       30000664
  100000      040841000000028932  0         4       32000497
  100000      040841000000028933  0         5       32000498
  100000      040841000000028934  0         6       32000499
  100000      040841000000028935  0         7       32000500
  100000      040841000000028936  0         8       32000501
  100000      040841000000028937  0         9       32000502
  100000      040841070000000104  0         10       32000707
  100000      121041000000007165  0         14       36000373
  100000      121041070000000136  0         13       36000380
  100000      132141000000041302  0         12       100000158
  100000      132141000000041302  1         21       100000158
  100000      132141000000041301  0         11       100000160
  100000      132141000000041301  1         20       100000160
  100000      132141000000041299  0         15       100000168
  100000      132141000000041299  1         18       100000168
  100000      132141000000041300  0         16       100000216
  100000      132141000000041300  1         17       100000216
  100000      132241000000084846  0         11       101000176
  100000      132241000000084846  1         1       101000176
  100000      132241000000084847  0         12       101000177
  100000      132241000000084847  1         1       101000177
  100000      132241000000084848  0         19       101000178
  100000      132241000000084848  1         1       101000178
  100000      132241000000084843  0         1       101000191
  100000      132241000000084843  1         18       101000191
  100000      132241000000084842  0         15       101000202
  100000      132241000000084842  1         14       101000202
  100000      132241000000084844  0         16       101000214
  100000      132241000000084844  1         13       101000214
  100000      132241000000084845  0         1       101000217
  100000      132241000000084845  1         17       101000217
  100000      132241000000084862  0         22       101000580
  100000      132241000000084862  1         2       101000580
  100000      132241070000001285  0         23       101000581
  100000      132241070000001285  1         3       101000581
  100000      132241070000001288  0         26       101000635
  100000      132241070000001288  1         25       101000635
  100000      132241070000001289  0         28       101000658
  100000      132241070000001289  1         27       101000658
  100000      132241070000001284  0         29       101000687
  100000      132241070000001284  1         3       101000687
  100000      131241000000007579  0         20       102000357
  100000      131241000000009984  0         24       102000357
  100000      131241000000007576  0         21       102000358
  100000      131241000000009981  0         30       102000358
  100000      131441070000000563  0         19       107000195
  100000      131441070000000690  0         22       107000583
  100000      131441070000000564  0         29       107000688
  100000      132141000000041306  0         2       110000584
  100000      132141000000041306  1         31       110000584
  100000      132241000000084857  0         4       110000584
  100000      132241000000084857  1         31       110000584
  100000      132141000000041307  0         2       110000585
  100000      132141000000041307  1         32       110000585
  100000      132241000000084859  0         5       110000585
  100000      132241000000084859  1         32       110000585
  100000      132141000000041308  0         2       110000586
  100000      132141000000041308  1         33       110000586
  100000      132241000000084861  0         6       110000586
  100000      132241000000084861  1         33       110000586
  100000      132141000000041309  0         3       110000587
  100000      132141000000041309  1         34       110000587
  100000      132241000000084864  0         7       110000587
  100000      132241000000084864  1         34       110000587
  100000      132141000000041303  0         24       110000589
  100000      132141000000041303  1         35       110000589
  100000      132241000000084849  0         2       110000589
  100000      132241000000084849  1         35       110000589
  100000      132141000000041310  0         3       110000591
  100000      132141000000041310  1         36       110000591
  100000      132241000000084866  0         8       110000591
  100000      132241000000084866  1         36       110000591
  100000      132141000000041311  0         3       110000592
  100000      132141000000041311  1         37       110000592
  100000      132241000000084868  0         9       110000592
  100000      132241000000084868  1         37       110000592
  100000      132141000000041305  0         2       110000637
  100000      132141000000041305  1         38       110000637
  100000      132241000000084854  0         25       110000637
  100000      132241000000084854  1         38       110000637
  100000      132141070000000468  0         3       110000659
  100000      132141070000000468  1         39       110000659
  100000      132241000000084855  0         27       110000659
  100000      132241000000084855  1         39       110000659
  100000      132141070000000467  0         2       110000681
  100000      132141070000000467  1         40       110000681
  100000      132241070000001287  0         23       110000681
  100000      132241070000001287  1         40       110000681
  100000      132141070000000466  0         3       110000715
  100000      132141070000000466  1         41       110000715
  100000      132241070000001286  0         10       110000715
  100000      132241070000001286  1         41       110000715
  100000      132141000000041304  0         30       110000719
  100000      132141000000041304  1         42       110000719
  100000      132241000000084850  0         3       110000719
  100000      132241000000084850  1         42       110000719
  100000      132341000000052186  0         13       111000422
  100000      132341000000052184  0         14       111000425
  100000      132341000000052185  0         18       111000426
  100000      132341000000052187  0         19       111000448
  100000      132341000000052195  0         9       111000593
  100000      132341000000052194  0         8       111000594
  100000      132341000000052193  0         7       111000595
  100000      132341000000052192  0         6       111000596
  100000      132341000000052191  0         5       111000597
  100000      132341000000052190  0         4       111000598
  100000      132341000000052188  0         25       111000639
  100000      132341070000000470  0         26       111000640
  100000      132341000000052189  0         27       111000660
  100000      132341070000000471  0         28       111000661
  100000      132341070000000469  0         10       111000716
  100000      140241000000005137  0         26       113000643
  100000      140241070000000027  0         28       113000662
