  Í¼ÐÎºÅ               = 1367
  ³§Õ¾IDºÅ             = 01124107000004

  Ó¦ÓÃºÅ      Í¼ÔªKEY_IDºÅ        ¶Ë×ÓºÅ    ½Úµã±àºÅ  Í¼ÐÎ¶ËOBJ_IDºÅ
  100000      130141000000000918  0         1       30006622
  100000      130141000000000917  0         2       30006625
  100000      130141000000001501  0         3       30006628
  100000      130141000000001502  0         4       30006631
  100000      130141000000001500  0         5       30006637
  100000      130141000000001498  0         6       30006640
  100000      130141000000001499  0         7       30008393
  100000      040841000000001363  0         8       32008116
  100000      040841000000001364  0         9       32008132
  100000      040841000000001365  0         10       32008252
  100000      040841000000001366  0         11       32008307
  100000      040841000000001367  0         12       32008529
  100000      040841000000001368  0         13       32008541
  100000      040841000000001369  0         14       32008558
  100000      040841000000001370  0         15       32008570
  100000      040841000000001371  0         16       32009354
  100000      040841000000001372  0         17       32009445
  100000      040841000000001373  0         18       32009582
  100000      040841070000000361  0         19       32009705
  100000      040841070000000360  0         20       32009706
  100000      040841070000000359  0         21       32009707
  100000      040841070000000364  0         22       32009759
  100000      040841070000000363  0         23       32009760
  100000      040841070000000362  0         24       32009761
  100000      040841070000000358  0         25       32009798
  100000      040841070000000357  0         26       32009803
  100000      121041070000000777  0         36       36009039
  100000      121041070000001670  0         39       36009044
  100000      121041000000005299  0         56       36009049
  100000      121041070000000984  0         58       36009054
  100000      121041070000000986  0         61       36009059
  100000      121041000000002060  0         78       36009064
  100000      121041070000000512  0         81       36009069
  100000      121041000000002064  0         85       36009074
  100000      121041070000001684  0         88       36009079
  100000      121041070000000121  0         93       36009089
  100000      121041070000001725  0         96       36009094
  100000      121041000000002089  0         102       36009104
  100000      121041000000002059  0         105       36009109
  100000      121041070000000454  0         108       36009114
  100000      121041070000001685  0         111       36009119
  100000      121041070000001687  0         114       36009124
  100000      121041000000002078  0         117       36009129
  100000      121041000000001754  0         124       36009340
  100000      121041000000002143  0         99       36009686
  100000      132141000000004361  0         28       100001488
  100000      132141000000004361  1         27       100001488
  100000      132141000000062947  0         29       100004135
  100000      132141000000062947  1         30       100004135
  100000      132141000000004363  0         32       100004978
  100000      132141000000004363  1         31       100004978
  100000      132141000000004360  0         48       100005510
  100000      132141000000004360  1         49       100005510
  100000      132141000000062946  0         82       100005516
  100000      132141000000062946  1         76       100005516
  100000      132141000000004362  0         35       100005886
  100000      132141000000004362  1         34       100005886
  100000      132141000000004365  0         38       100006487
  100000      132141000000004365  1         37       100006487
  100000      132141000000006114  0         51       100007017
  100000      132141000000006114  1         47       100007017
  100000      132141000000004367  0         53       100007295
  100000      132141000000004367  1         52       100007295
  100000      132141000000004368  0         55       100007321
  100000      132141000000004368  1         54       100007321
  100000      132141000000004366  0         57       100007347
  100000      132141000000004366  1         143       100007347
  100000      132141000000004359  0         60       100007399
  100000      132141000000004359  1         59       100007399
  100000      132141000000062948  0         66       100007492
  100000      132141000000062948  1         64       100007492
  100000      132141000000006116  0         77       100007551
  100000      132141000000006116  1         67       100007551
  100000      132141000000062950  0         80       100008632
  100000      132141000000062950  1         79       100008632
  100000      132141000000006117  0         84       100008664
  100000      132141000000006117  1         83       100008664
  100000      132141000000006112  0         87       100008690
  100000      132141000000006112  1         86       100008690
  100000      132141000000062949  0         90       100008716
  100000      132141000000062949  1         89       100008716
  100000      132141000000006119  0         92       100008742
  100000      132141000000006119  1         91       100008742
  100000      132141000000006113  0         95       100008768
  100000      132141000000006113  1         94       100008768
  100000      132141000000006118  0         98       100008794
  100000      132141000000006118  1         97       100008794
  100000      132141000000006122  0         101       100008820
  100000      132141000000006122  1         100       100008820
  100000      132141000000006120  0         104       100008846
  100000      132141000000006120  1         103       100008846
  100000      132141000000006121  0         107       100008872
  100000      132141000000006121  1         106       100008872
  100000      132141000000006115  0         110       100008898
  100000      132141000000006115  1         109       100008898
  100000      132141000000006111  0         113       100008924
  100000      132141000000006111  1         112       100008924
  100000      132141000000006123  0         116       100008950
  100000      132141000000006123  1         115       100008950
  100000      132141000000004364  0         123       100009341
  100000      132141000000004364  1         122       100009341
  100000      132241000000014588  0         120       101001498
  100000      132241000000014588  1         28       101001498
  100000      132241000000014583  0         1       101001499
  100000      132241000000014583  1         27       101001499
  100000      132241000000014587  0         2       101001500
  100000      132241000000014587  1         27       101001500
  100000      132241000000017877  0         68       101004137
  100000      132241000000017877  1         29       101004137
  100000      132241000000017878  0         3       101004138
  100000      132241000000017878  1         30       101004138
  100000      132241000000017876  0         4       101004139
  100000      132241000000017876  1         30       101004139
  100000      132241000000014586  0         50       101004980
  100000      132241000000014586  1         32       101004980
  100000      132241000000014584  0         1       101004981
  100000      132241000000014584  1         31       101004981
  100000      132241000000014585  0         2       101004982
  100000      132241000000014585  1         31       101004982
  100000      132241000000014589  0         1       101005544
  100000      132241000000014589  1         49       101005544
