  Í¼ÐÎºÅ               = 1184
  ³§Õ¾IDºÅ             = 01124107000065

  Ó¦ÓÃºÅ      Í¼ÔªKEY_IDºÅ        ¶Ë×ÓºÅ    ½Úµã±àºÅ  Í¼ÐÎ¶ËOBJ_IDºÅ
  100000      130141000000010186  0         1       30004397
  100000      130141000000010185  0         2       30004402
  100000      130141000000010184  0         3       30007221
  100000      130141000000010184  0         3       30007222
  100000      130141000000010183  0         4       30007812
  100000      130141000000010183  0         4       30007813
  100000      130141000000010189  0         5       30008104
  100000      130141000000010187  0         6       30008105
  100000      130141000000010188  0         7       30008237
  100000      040841000000011717  0         8       32007817
  100000      040841000000011718  0         9       32007818
  100000      040841000000011719  0         10       32008401
  100000      040841000000011720  0         11       32008468
  100000      040841000000011721  0         12       32008722
  100000      040841000000011722  0         13       32008736
  100000      040841000000011723  0         14       32008860
  100000      040841000000011724  0         15       32008889
  100000      040841000000011725  0         16       32008904
  100000      040841000000011726  0         17       32008937
  100000      040841000000011727  0         18       32008953
  100000      040841070000000307  0         19       32009077
  100000      040841070000000308  0         20       32009088
  100000      121241070000000104  0         22       36004370
  100000      121041000000005608  0         24       36006456
  100000      121041070000000092  0         55       36008318
  100000      121041000000003686  0         77       36009015
  100000      121041000000003642  0         76       36009020
  100000      121041000000003657  0         49       36009025
  100000      132141000000041574  0         61       100006395
  100000      132141000000041574  1         21       100006395
  100000      132141000000041572  0         50       100006457
  100000      132141000000041572  1         23       100006457
  100000      132141000000041579  0         25       100006465
  100000      132141000000041579  1         35       100006465
  100000      132141000000041580  0         26       100006518
  100000      132141000000041580  1         37       100006518
  100000      132141000000041583  0         27       100006713
  100000      132141000000041583  1         48       100006713
  100000      132141000000041582  0         32       100007164
  100000      132141000000041582  1         28       100007164
  100000      132141000000041568  0         75       100008192
  100000      132141000000041568  1         40       100008192
  100000      132141000000041586  0         71       100008193
  100000      132141000000041586  1         41       100008193
  100000      132141000000041585  0         73       100008194
  100000      132141000000041585  1         42       100008194
  100000      132141000000042684  0         74       100008196
  100000      132141000000042684  1         44       100008196
  100000      132141000000041592  0         72       100008197
