  Í¼ÐÎºÅ               = 8235
  ³§Õ¾IDºÅ             = 01124107000216

  Ó¦ÓÃºÅ      Í¼ÔªKEY_IDºÅ        ¶Ë×ÓºÅ    ½Úµã±àºÅ  Í¼ÐÎ¶ËOBJ_IDºÅ
  100000      130141070000000149  0         1       30006622
  100000      130141070000000150  0         2       30006625
  100000      130141070000000147  0         3       30006628
  100000      130141070000000148  0         4       30006631
  100000      130141070000000153  0         5       30006637
  100000      130141070000000153  0         5       30006640
  100000      130141070000000152  0         6       30008393
  100000      130141070000000151  0         7       30009866
  100000      130141070000000152  0         6       30010595
  100000      040841070000000379  0         8       32008570
  100000      040841070000000397  0         9       32009759
  100000      040841070000000413  0         10       32009803
  100000      040841070000000396  0         11       32010680
  100000      040841070000000395  0         12       32010693
  100000      040841070000000394  0         13       32010706
  100000      040841070000000393  0         14       32010719
  100000      040841070000000392  0         15       32010732
  100000      040841070000000391  0         16       32010745
  100000      040841070000000398  0         17       32010772
  100000      040841070000000399  0         18       32010786
  100000      040841070000000400  0         19       32010804
  100000      040841070000000401  0         20       32010818
  100000      040841070000000402  0         21       32010832
  100000      040841070000000380  0         22       32010875
  100000      040841070000000381  0         23       32010888
  100000      040841070000000382  0         24       32010901
  100000      040841070000000383  0         25       32010914
  100000      040841070000000384  0         26       32010927
  100000      040841070000000385  0         27       32010953
  100000      040841070000000386  0         28       32010966
  100000      040841070000000387  0         29       32010979
  100000      040841070000000388  0         30       32011005
  100000      040841070000000389  0         31       32011024
  100000      040841070000000390  0         32       32011088
  100000      040841070000000412  0         33       32011122
  100000      121041070000000292  0         136       36011239
  100000      121041070000000290  0         137       36011244
  100000      121041070000000296  0         138       36011249
  100000      121041070000000294  0         139       36011254
  100000      121041070000000289  0         134       36011259
  100000      121041070000000287  0         135       36011264
  100000      121041070000000318  0         40       36011291
  100000      121041070000000416  0         84       36011300
  100000      121041070000000330  0         95       36011301
  100000      121041070000000332  0         87       36011310
  100000      121041070000000356  0         102       36011311
  100000      121041070000000358  0         108       36011316
  100000      121041070000000360  0         105       36011321
  100000      121041070000000420  0         92       36011340
  100000      121041070000000560  0         140       36011343
  100000      132141070000000847  0         50       100001488
  100000      132141070000000847  1         34       100001488
  100000      132141070000000839  0         61       100004135
  100000      132141070000000839  1         35       100004135
  100000      132141070000000836  0         39       100007551
  100000      132141070000000836  1         36       100007551
  100000      132141070000000848  0         52       100009858
  100000      132141070000000848  1         51       100009858
  100000      132141070000000850  0         56       100009937
  100000      132141070000000850  1         55       100009937
  100000      132141070000000852  0         59       100009964
  100000      132141070000000852  1         58       100009964
  100000      132141070000000851  0         64       100009992
  100000      132141070000000851  1         63       100009992
  100000      132141070000000853  0         67       100010046
  100000      132141070000000853  1         66       100010046
  100000      132141070000000855  0         69       100010065
  100000      132141070000000855  1         68       100010065
