  Í¼ÐÎºÅ               = 3630
  ³§Õ¾IDºÅ             = 01124107000082

  Ó¦ÓÃºÅ      Í¼ÔªKEY_IDºÅ        ¶Ë×ÓºÅ    ½Úµã±àºÅ  Í¼ÐÎ¶ËOBJ_IDºÅ
  100000      130141000000004464  0         1       30009232
  100000      130141000000004083  0         2       30010417
  100000      130141000000004084  0         3       30011541
  100000      040841000000028868  0         4       32011743
  100000      040841000000028869  0         5       32011760
  100000      040841000000028870  0         6       32011832
  100000      040841000000028871  0         7       32011978
  100000      040841000000028867  0         8       32012405
  100000      040841000000029283  0         9       32012422
  100000      121041000000007194  0         12       36012295
  100000      132141000000039762  0         11       100009565
  100000      132141000000039762  1         26       100009565
  100000      132141000000039758  0         31       100011752
  100000      132141000000039758  1         14       100011752
  100000      132141000000039759  0         32       100011769
  100000      132141000000039759  1         15       100011769
  100000      132141000000041922  0         33       100011800
  100000      132141000000041922  1         17       100011800
  100000      132141000000039760  0         35       100011868
  100000      132141000000039760  1         18       100011868
  100000      132141000000041923  0         37       100011968
  100000      132141000000041923  1         20       100011968
  100000      132141000000039761  0         36       100011987
  100000      132141000000039761  1         21       100011987
  100000      132141000000039764  0         10       100012117
  100000      132141000000039764  1         40       100012117
  100000      132141000000039765  0         27       100012253
  100000      132141000000039765  1         22       100012253
  100000      132141000000039763  0         34       100012272
  100000      132141000000039763  1         24       100012272
  100000      132141000000039757  0         42       100012415
  100000      132141000000039757  1         41       100012415
  100000      132141070000000297  0         45       100012433
  100000      132141070000000297  1         44       100012433
  100000      132241000000083313  0         38       101011084
  100000      132241000000083313  1         2       101011084
  100000      132241000000083305  0         10       101011090
  100000      132241000000083305  1         1       101011090
  100000      132241000000083302  0         11       101011096
  100000      132241000000083302  1         1       101011096
  100000      132241000000083318  0         1       101011493
  100000      132241000000083318  1         12       101011493
  100000      132241000000083312  0         13       101011656
  100000      132241000000083312  1         1       101011656
  100000      132241000000083295  0         4       101011753
  100000      132241000000083295  1         14       101011753
  100000      132241000000083294  0         31       101011754
  100000      132241000000083294  1         2       101011754
  100000      132241000000083297  0         5       101011770
  100000      132241000000083297  1         15       101011770
  100000      132241000000083296  0         32       101011771
  100000      132241000000083296  1         2       101011771
  100000      132241000000083309  0         16       101011801
  100000      132241000000083309  1         17       101011801
  100000      132241000000083308  0         33       101011802
  100000      132241000000083308  1         2       101011802
  100000      132241000000083299  0         6       101011874
  100000      132241000000083299  1         18       101011874
  100000      132241000000083298  0         35       101011875
  100000      132241000000083298  1         3       101011875
  100000      132241000000083314  0         39       101011891
  100000      132241000000083314  1         3       101011891
  100000      132241000000083311  0         19       101011970
  100000      132241000000083311  1         20       101011970
  100000      132241000000083310  0         37       101011971
  100000      132241000000083310  1         3       101011971
  100000      132241000000083301  0         7       101011988
  100000      132241000000083301  1         21       101011988
  100000      132241000000083300  0         36       101011989
  100000      132241000000083300  1         3       101011989
  100000      132241000000083315  0         3       101012178
  100000      132241000000083315  1         2       101012178
  100000      132241000000083306  0         22       101012254
  100000      132241000000083306  1         23       101012254
  100000      132241000000083307  0         27       101012255
  100000      132241000000083307  1         2       101012255
  100000      132241000000083303  0         24       101012273
  100000      132241000000083303  1         25       101012273
  100000      132241000000083304  0         34       101012274
  100000      132241000000083304  1         3       101012274
  100000      132241000000083293  0         8       101012416
  100000      132241000000083293  1         41       101012416
  100000      132241000000083292  0         42       101012417
  100000      132241000000083292  1         2       101012417
  100000      132241000000083317  0         9       101012434
  100000      132241000000083317  1         44       101012434
  100000      132241000000083316  0         45       101012435
  100000      132241000000083316  1         3       101012435
  100000      131241000000009205  0         40       102012296
  100000      131241000000011610  0         23       102012296
  100000      131241000000008853  0         26       102012299
  100000      131241000000011258  0         25       102012299
  100000      131441070000000464  0         38       107011085
  100000      131441070000000467  0         39       107011894
  100000      131441070000000463  0         13       107012148
  100000      132341000000051412  0         13       111011658
  100000      132341000000051406  0         35       111011880
  100000      132341000000051411  0         37       111011972
  100000      132341000000051407  0         36       111011990
  100000      132341000000051408  0         34       111012275
  100000      132341000000051413  0         38       111012303
  100000      132341000000051409  0         27       111012304
  100000      132341000000051404  0         31       111012306
  100000      132341000000051405  0         32       111012307
  100000      132341000000051410  0         33       111012308
  100000      132341000000051414  0         39       111012383
  100000      132341000000051416  0         12       111012386
  100000      132341000000051403  0         42       111012418
  100000      132341000000051415  0         45       111012436
  100000      140241000000005038  0         16       113011811
  100000      140241000000005037  0         19       113011973
