  Í¼ÐÎºÅ               = 5909
  ³§Õ¾IDºÅ             = 01124107000231

  Ó¦ÓÃºÅ      Í¼ÔªKEY_IDºÅ        ¶Ë×ÓºÅ    ½Úµã±àºÅ  Í¼ÐÎ¶ËOBJ_IDºÅ
  100000      130141070000000289  0         1       30006622
  100000      130141070000000288  0         2       30006625
  100000      130141070000000290  0         3       30006628
  100000      130141070000000291  0         4       30006631
  100000      130141070000000292  0         5       30006637
  100000      130141070000000292  0         5       30006640
  100000      130141070000000365  0         6       30008358
  100000      130141070000000364  0         7       30008359
  100000      040841070000000932  0         8       32006890
  100000      040841070000000941  0         9       32006891
  100000      040841070000000931  0         10       32006892
  100000      040841070000000934  0         11       32008054
  100000      040841070000000933  0         12       32008055
  100000      040841070000000936  0         13       32008084
  100000      040841070000000935  0         14       32008085
  100000      040841070000000938  0         15       32008086
  100000      040841070000000937  0         16       32008087
  100000      040841070000000940  0         17       32008175
  100000      040841070000000939  0         18       32008176
  100000      040841070000001158  0         19       32008363
  100000      040841070000001156  0         20       32008365
  100000      040841070000001157  0         21       32008366
  100000      040841070000001154  0         22       32008367
  100000      040841070000001155  0         23       32008368
  100000      040841070000001153  0         24       32008369
  100000      040841070000001152  0         25       32008370
  100000      040841070000001150  0         26       32008568
  100000      040841070000001149  0         27       32008569
  100000      040841070000001151  0         28       32008593
  100000      040841070000001159  0         29       32008606
  100000      040841070000001167  0         30       32008796
  100000      040841070000001168  0         31       32008801
  100000      121041070000000488  0         42       36007019
  100000      121041070000000486  0         52       36007346
  100000      121041070000000573  0         56       36007575
  100000      121041070000000575  0         62       36007638
  100000      121041070000000496  0         39       36008280
  100000      121041070000000502  0         80       36008295
  100000      121041070000000498  0         75       36008898
  100000      121041070000000602  0         83       36008903
  100000      121041070000000601  0         116       36008917
  100000      132141070000001654  0         33       100001488
  100000      132141070000001654  1         32       100001488
  100000      132141070000001649  0         34       100004135
  100000      132141070000001649  1         35       100004135
  100000      132141070000001645  0         60       100005510
  100000      132141070000001645  1         59       100005510
  100000      132141070000001650  0         46       100005516
  100000      132141070000001650  1         45       100005516
  100000      132141070000001647  0         37       100006218
  100000      132141070000001647  1         38       100006218
  100000      132141070000001651  0         40       100006363
  100000      132141070000001651  1         41       100006363
  100000      132141070000001646  0         50       100007335
  100000      132141070000001646  1         51       100007335
  100000      132141070000001643  0         55       100007554
  100000      132141070000001643  1         54       100007554
  100000      132141070000001644  0         58       100007611
  100000      132141070000001644  1         57       100007611
  100000      132141070000001648  0         73       100007926
  100000      132141070000001648  1         74       100007926
  100000      132141070000001653  0         78       100007996
  100000      132141070000001653  1         79       100007996
  100000      132141070000001652  0         81       100007997
  100000      132141070000001652  1         82       100007997
  100000      132141070000002013  0         101       100008696
  100000      132141070000002013  1         69       100008696
  100000      132141070000002014  0         102       100008712
  100000      132141070000002014  1         71       100008712
  100000      132141070000002012  0         103       100008743
  100000      132141070000002012  1         70       100008743
  100000      132141070000002011  0         105       100008762
  100000      132141070000002011  1         104       100008762
  100000      132141070000002141  0         115       100008880
  100000      132141070000002141  1         114       100008880
  100000      132241070000003322  0         47       101005586
  100000      132241070000003322  1         36       101005586
  100000      132241070000003320  0         48       101006560
  100000      132241070000003320  1         43       101006560
  100000      132241070000003321  0         49       101006579
  100000      132241070000003321  1         44       101006579
  100000      132241070000003324  0         1       101007653
  100000      132241070000003324  1         61       101007653
  100000      132241070000003286  0         2       101007659
  100000      132241070000003286  1         54       101007659
  100000      132241070000003268  0         55       101007660
  100000      132241070000003268  1         56       101007660
  100000      132241070000003290  0         1       101007661
  100000      132241070000003290  1         54       101007661
  100000      132241070000003287  0         2       101007668
  100000      132241070000003287  1         57       101007668
  100000      132241070000003294  0         58       101007669
  100000      132241070000003294  1         62       101007669
  100000      132241070000003291  0         1       101007670
  100000      132241070000003291  1         57       101007670
  100000      132241070000003289  0         1       101007675
  100000      132241070000003289  1         32       101007675
  100000      132241070000003293  0         33       101007676
  100000      132241070000003293  1         67       101007676
  100000      132241070000003285  0         2       101007677
  100000      132241070000003285  1         32       101007677
  100000      132241070000003325  0         63       101007697
  100000      132241070000003325  1         2       101007697
  100000      132241070000003288  0         60       101007704
  100000      132241070000003288  1         2       101007704
  100000      132241070000003317  0         59       101007705
  100000      132241070000003317  1         1       101007705
  100000      132241070000003301  0         64       101007725
  100000      132241070000003301  1         34       101007725
  100000      132241070000003302  0         35       101007726
  100000      132241070000003302  1         3       101007726
  100000      132241070000003303  0         35       101007727
  100000      132241070000003303  1         4       101007727
  100000      132241070000003329  0         46       101007728
  100000      132241070000003329  1         4       101007728
  100000      132241070000003328  0         45       101007729
  100000      132241070000003328  1         3       101007729
  100000      132241070000003297  0         51       101007758
  100000      132241070000003297  1         4       101007758
  100000      132241070000003296  0         51       101007759
  100000      132241070000003296  1         3       101007759
  100000      132241070000003300  0         41       101007760
  100000      132241070000003300  1         4       101007760
  100000      132241070000003299  0         41       101007761
  100000      132241070000003299  1         3       101007761
  100000      132241070000003307  0         38       101007762
  100000      132241070000003307  1         4       101007762
  100000      132241070000003306  0         38       101007763
  100000      132241070000003306  1         3       101007763
  100000      132241070000003331  0         53       101007764
  100000      132241070000003331  1         4       101007764
  100000      132241070000003330  0         53       101007765
  100000      132241070000003330  1         3       101007765
  100000      132241070000003295  0         52       101007769
  100000      132241070000003295  1         50       101007769
  100000      132241070000003298  0         42       101007770
  100000      132241070000003298  1         40       101007770
  100000      132241070000003305  0         39       101007771
  100000      132241070000003305  1         37       101007771
  100000      132241070000003333  0         68       101007863
  100000      132241070000003333  1         4       101007863
  100000      132241070000003332  0         68       101007864
  100000      132241070000003332  1         3       101007864
  100000      132241070000003866  0         69       101007873
  100000      132241070000003866  1         4       101007873
  100000      132241070000003865  0         69       101007874
  100000      132241070000003865  1         3       101007874
  100000      132241070000003863  0         70       101007890
  100000      132241070000003863  1         4       101007890
  100000      132241070000003862  0         70       101007891
  100000      132241070000003862  1         3       101007891
  100000      132241070000003869  0         71       101007892
  100000      132241070000003869  1         4       101007892
  100000      132241070000003868  0         71       101007893
  100000      132241070000003868  1         3       101007893
  100000      132241070000003341  0         72       101007904
  100000      132241070000003341  1         4       101007904
  100000      132241070000003340  0         72       101007905
  100000      132241070000003340  1         3       101007905
  100000      132241070000003310  0         74       101007927
  100000      132241070000003310  1         4       101007927
  100000      132241070000003309  0         74       101007928
  100000      132241070000003309  1         3       101007928
  100000      132241070000003308  0         75       101007929
  100000      132241070000003308  1         73       101007929
  100000      132241070000003327  0         76       101007937
  100000      132241070000003327  1         4       101007937
  100000      132241070000003326  0         77       101007951
  100000      132241070000003326  1         3       101007951
  100000      132241070000003313  0         82       101007998
  100000      132241070000003313  1         4       101007998
  100000      132241070000003312  0         82       101007999
  100000      132241070000003312  1         3       101007999
  100000      132241070000003316  0         79       101008000
  100000      132241070000003316  1         4       101008000
  100000      132241070000003315  0         79       101008001
  100000      132241070000003315  1         3       101008001
  100000      132241070000003311  0         83       101008002
  100000      132241070000003311  1         81       101008002
  100000      132241070000003314  0         80       101008003
  100000      132241070000003314  1         78       101008003
  100000      132241070000003343  0         84       101008044
  100000      132241070000003343  1         4       101008044
  100000      132241070000003342  0         84       101008045
  100000      132241070000003342  1         3       101008045
  100000      132241070000003345  0         85       101008046
  100000      132241070000003345  1         4       101008046
  100000      132241070000003344  0         85       101008047
  100000      132241070000003344  1         3       101008047
  100000      132241070000003323  0         87       101008143
  100000      132241070000003323  1         86       101008143
  100000      132241070000003346  0         5       101008165
  100000      132241070000003346  1         113       101008165
  100000      132241070000003347  0         5       101008199
  100000      132241070000003347  1         112       101008199
  100000      132241070000003348  0         5       101008205
  100000      132241070000003348  1         89       101008205
  100000      132241070000003888  0         92       101008509
  100000      132241070000003888  1         90       101008509
  100000      132241070000003886  0         93       101008510
  100000      132241070000003886  1         91       101008510
  100000      132241070000003883  0         7       101008515
  100000      132241070000003883  1         94       101008515
  100000      132241070000003890  0         97       101008647
  100000      132241070000003890  1         95       101008647
  100000      132241070000003892  0         98       101008648
  100000      132241070000003892  1         96       101008648
  100000      132241070000003884  0         6       101008662
  100000      132241070000003884  1         99       101008662
